Product ID,Product Name,Product Type,Brand/Series,Price Range,Energy Efficiency,Smart Features,Avg. Rating,Purchase Count,View Count,Add to Cart Count,Co-Purchase Count,Similar Products,,Image URL
1080,Bosch Coffee Machine X2,Power Tool,Serie 4,High,A++,Yes,4.3,1568,5462,1283,262,"1051, 1019",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1021,Bosch Coffee Machine X5,Power Tool,Serie 3,Low,B,Yes,4.1,690,2708,483,494,"1069, 1088",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1012,Bosch Dishwasher S4,Power Tool,Serie 7,Medium,A+,No,4.2,1473,5506,1350,180,"1094, 1054",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1030,Bosch Dishwasher S4,Smart Oven,X2 Series,High,A++,Yes,3.7,744,5388,580,503,"1065, 1018",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1035,Bosch Dishwasher S4,Air Conditioner,Serie 7,High,B,Yes,4.2,674,5314,556,691,"1020, 1050",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1041,Bosch Dishwasher S4,Smart Oven,X2 Series,Medium,A+,Yes,4.4,1414,5388,1679,210,"1033, 1025",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1048,Bosch Dishwasher S4,Microwave Oven,Serie 8,Medium,A++,Yes,3.7,1510,6215,1705,593,"1072, 1083",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1051,Bosch Dishwasher S4,Air Conditioner,Serie 5,Low,A+,No,3.9,1287,6221,897,192,"1068, 1067",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1059,Bosch Dishwasher S4,Coffee Machine,Serie 6,High,A++,Yes,3.7,392,1648,422,407,"1093, 1094",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1069,Bosch Dishwasher S4,Vacuum Cleaner,Serie 8,Low,B,No,4.3,1135,5218,1306,323,"1044, 1036",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1072,Bosch Dishwasher S4,Electric Kettle,Serie 3,Medium,B,Yes,4.8,1799,5027,1988,220,"1099, 1030",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1081,Bosch Dishwasher S4,Power Tool,Serie 3,High,B,Yes,4.2,789,1954,580,111,"1027, 1074",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1083,Bosch Dishwasher S4,Refrigerator,X1 Series,High,B,No,3.5,327,4825,243,430,"1070, 1024",,https://media3.bosch-home.com/Product_Shots/1800x1012/17016139_SMS6HVI01I_STP_def.webp
1005,Bosch Electric Kettle X1,Microwave Oven,Serie 8,Low,B,Yes,4.4,1176,2508,884,311,"1003, 1049",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1053,Bosch Electric Kettle X1,Smart Oven,Serie 3,High,A+,Yes,3.8,592,4217,562,865,"1095, 1080",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1055,Bosch Electric Kettle X1,Coffee Machine,Serie 7,Medium,B,No,5,955,3551,913,389,"1012, 1022",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1061,Bosch Electric Kettle X1,Power Tool,Serie 6,Medium,A+,No,4.6,1616,6472,1263,728,"1009, 1006",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1062,Bosch Electric Kettle X1,Coffee Machine,X2 Series,Low,B,No,4.3,1988,4380,1614,104,"1077, 1012",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1068,Bosch Electric Kettle X1,Washing Machine,Serie 6,Low,B,Yes,4.6,1141,2749,1195,816,"1078, 1065",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1087,Bosch Electric Kettle X1,Microwave Oven,Serie 7,High,B,Yes,4.2,983,2767,722,811,"1042, 1065",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1094,Bosch Electric Kettle X1,Vacuum Cleaner,Serie 6,Low,A++,Yes,4,274,3170,269,578,"1086, 1099",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1024,Bosch Electric Kettle X1754,Smart Oven,Serie 6,Low,A+,Yes,4.1,1113,5633,1219,779,"1001, 1025",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1009,Bosch Electric Kettle X2,Smart Oven,Serie 6,Medium,B,No,3.6,394,5001,345,229,"1002, 1061",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1013,Bosch Electric Kettle X3,Dishwasher,X1 Series,Medium,A+,No,4.9,528,5447,553,580,"1009, 1031",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1018,Bosch Electric Kettle X4,Coffee Machine,Serie 3,Medium,A++,Yes,4.8,1695,6222,1414,447,"1084, 1067",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA00784653_DHU636CQ_def.webp
1011,Bosch Microwave Oven S5,Microwave Oven,X2 Series,Medium,B,Yes,4.4,866,4416,821,348,"1013, 1081",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1028,Bosch Microwave Oven S5,Washing Machine,Serie 6,Low,A++,Yes,3.9,1411,5889,848,351,"1023, 1098",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1056,Bosch Microwave Oven S5,Coffee Machine,Serie 5,Low,B,No,3.7,1729,6141,1676,694,"1031, 1051",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1063,Bosch Microwave Oven S5,Power Tool,Serie 5,High,B,Yes,4.3,1527,2775,1213,55,"1047, 1043",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1092,Bosch Microwave Oven S5,Coffee Machine,X1 Series,High,A++,No,4.5,1641,3224,989,796,"1097, 1035",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1095,Bosch Microwave Oven S5,Air Conditioner,Serie 7,Low,A++,No,4.9,680,4344,634,690,"1005, 1036",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1096,Bosch Microwave Oven S5,Air Conditioner,X5 Series,Low,B,No,4.7,331,2570,218,553,"1075, 1087",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1099,Bosch Microwave Oven S5,Coffee Machine,Serie 3,Medium,A++,No,4.5,1984,4697,1348,777,"1007, 1093",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1100,Bosch Microwave Oven S5,Coffee Machine,X2 Series,High,A++,Yes,4.1,203,2099,124,590,"1017, 1075",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1017,Bosch Microwave Oven S6,Refrigerator,X5 Series,High,B,No,3.8,1172,3073,1245,578,"1050, 1004",,https://media3.bosch-home.com/Product_Shots/1800x1012/23599508_BEL554MB0_CompactOven_Bosch_STP_def.webp
1006,Bosch two-dooe Refrigerator S5,Power Tool,Serie 8,Low,A++,Yes,4.7,658,5068,666,621,"1020, 1096",,https://media3.bosch-home.com/Product_Shots/1800x1012/20834985_KGN56LB42I_STP_def.webp
1060,Bosch two-dooe Refrigerator S6,Washing Machine,Serie 6,Low,A++,No,4.1,367,2503,299,388,"1007, 1013",,https://media3.bosch-home.com/Product_Shots/1800x1012/20834985_KGN56LB42I_STP_def.webp
1074,Bosch two-dooe Refrigerator S7,Washing Machine,X2 Series,Low,A++,No,4.7,402,5142,369,363,"1012, 1095",,https://media3.bosch-home.com/Product_Shots/1800x1012/20834985_KGN56LB42I_STP_def.webp
1084,Bosch two-dooe Refrigerator S8,Vacuum Cleaner,Serie 4,High,A+,No,4.4,661,3718,427,747,"1013, 1054",,https://media3.bosch-home.com/Product_Shots/1800x1012/20834985_KGN56LB42I_STP_def.webp
1007,Bosch two-dooe Refrigerator S9,Smart Oven,X1 Series,Low,A+,Yes,5,1250,5272,997,877,"1025, 1096",,https://media3.bosch-home.com/Product_Shots/1800x1012/20834985_KGN56LB42I_STP_def.webp
1008,Bosch two-dooe Refrigerator S10,Smart Oven,Serie 5,Medium,A+,No,4.5,1651,2690,1980,206,"1026, 1024",,https://media3.bosch-home.com/Product_Shots/1800x1012/20834985_KGN56LB42I_STP_def.webp
1019,Bosch Refrigerator S5,Smart Oven,Serie 6,Low,A++,No,3.5,1419,4562,1414,456,"1063, 1059",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1016,Bosch Refrigerator S6,Vacuum Cleaner,Serie 5,Medium,A+,No,4.1,1387,5771,1460,575,"1068, 1005",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1029,Bosch Refrigerator S6,Refrigerator,Serie 6,High,B,Yes,4.7,1244,3192,1270,300,"1086, 1069",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1032,Bosch Refrigerator S6,Dishwasher,Serie 6,High,B,Yes,3.7,962,5085,995,529,"1078, 1070",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1054,Bosch Refrigerator S6,Washing Machine,Serie 5,Low,A++,No,5,1577,6545,1750,595,"1034, 1012",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1070,Bosch Refrigerator S6,Refrigerator,X1 Series,Low,A++,Yes,4.5,590,4815,587,158,"1023, 1032",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1077,Bosch Refrigerator S6,Electric Kettle,Serie 5,High,B,Yes,4.4,1505,5077,997,119,"1066, 1092",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1090,Bosch Refrigerator S6,Refrigerator,Serie 3,Medium,A++,Yes,3.6,751,2111,575,870,"1064, 1060",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1091,Bosch Refrigerator S6,Coffee Machine,Serie 8,Low,B,No,4.5,1907,2573,1191,598,"1072, 1063",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1093,Bosch Refrigerator S6,Refrigerator,X2 Series,Medium,B,Yes,4,1580,3729,1840,270,"1058, 1088",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1097,Bosch Refrigerator S6,Air Conditioner,X2 Series,Medium,A++,No,3.8,1463,4731,1691,278,"1007, 1053",,https://media3.bosch-home.com/Product_Shots/1800x1012/23139047_CST22W33PI_STP_def.webp
1020,Bosch Smart Oven S6,Microwave Oven,Serie 3,High,A++,Yes,4,421,2428,366,475,"1079, 1081",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1001,Bosch Smart Oven S7,Washing Machine,Serie 6,Low,A++,No,3.6,948,1693,602,180,"1092, 1079",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1002,Bosch Smart Oven S7,Power Tool,X1 Series,Low,A++,Yes,4.2,1619,6369,1560,814,"1057, 1023",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1010,Bosch Smart Oven S7,Dishwasher,X2 Series,Low,A++,Yes,4,1891,3828,1642,443,"1012, 1020",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1034,Bosch Smart Oven S7,Smart Oven,X1 Series,Low,B,Yes,4.8,1728,2648,1774,437,"1047, 1039",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1037,Bosch Smart Oven S7,Power Tool,Serie 4,High,A++,No,4.8,461,2440,540,135,"1081, 1088",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1042,Bosch Smart Oven S7,Electric Kettle,Serie 8,Low,A++,Yes,3.9,747,2023,691,130,"1097, 1046",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1044,Bosch Smart Oven S7,Power Tool,Serie 5,Low,B,Yes,3.8,1060,5988,917,280,"1096, 1064",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1045,Bosch Smart Oven S7,Dishwasher,Serie 5,Medium,B,Yes,3.7,589,4423,369,327,"1038, 1055",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1049,Bosch Smart Oven S7,Smart Oven,Serie 8,High,A++,Yes,4.8,1743,6042,2050,704,"1034, 1086",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1064,Bosch Smart Oven S7,Power Tool,Serie 6,Medium,A+,No,4.9,1323,3297,1042,475,"1040, 1070",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1022,Bosch Smart Oven S9,Microwave Oven,X5 Series,High,A+,Yes,4,1148,2620,1095,243,"1083, 1032",,https://media3.bosch-home.com/Product_Shots/545x545/MCSA00789732_436181_CMG636BB1_def.jpg
1003,Bosch Vacuum Cleaner S3,Coffee Machine,Serie 8,High,A+,No,4.3,1984,6168,1269,418,"1008, 1075",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1057,Bosch Vacuum Cleaner S3,,X2 Series,Low,B,Yes,3.7,1775,3431,2084,668,"1051, 1061",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1066,Bosch Vacuum Cleaner S3,Air Conditioner,Serie 5,High,A+,Yes,3.7,1141,5982,1354,406,"1028, 1042",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1078,Bosch Vacuum Cleaner S3,Vacuum Cleaner,Serie 8,High,A++,Yes,4.6,1259,4106,983,364,"1010, 1059",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1079,Bosch Vacuum Cleaner S3,Vacuum Cleaner,Serie 7,High,A+,No,3.7,1526,5586,1135,870,"1099, 1038",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1085,Bosch Vacuum Cleaner S3,Vacuum Cleaner,Serie 8,Low,A+,No,4.8,189,2342,190,294,"1023, 1001",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1086,Bosch Vacuum Cleaner S3,Smart Oven,Serie 6,Medium,A+,No,3.7,1075,4518,958,294,"1046, 1006",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1027,Bosch Vacuum Cleaner S3143,Vacuum Cleaner,X2 Series,Medium,B,No,4.9,626,1767,441,575,"1032, 1029",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1023,Bosch Vacuum Cleaner S324,Power Tool,Serie 5,Low,B,No,4.9,1470,5907,1598,754,"1011, 1003",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1026,Bosch Vacuum Cleaner S34553,Smart Oven,Serie 3,High,A+,Yes,4.7,1987,4656,2011,212,"1009, 1090",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1004,Bosch Vacuum Cleaner S4,Air Conditioner,Serie 3,Low,A+,No,3.7,461,4363,514,692,"1084, 1006",,https://media3.bosch-home.com/Product_Shots/1800x1012/22966880__BCS71PETIN_def.webp
1015,Bosch Washing Machine S6,Power Tool,Serie 7,High,A++,Yes,3.9,982,4369,622,442,"1058, 1041",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1043,Bosch Washing Machine S6,Washing Machine,Serie 3,Medium,A++,No,4.9,1689,6515,1350,362,"1018, 1004",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1046,Bosch Washing Machine S6,Electric Kettle,Serie 8,High,B,No,4.8,1952,2717,2336,390,"1063, 1080",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1058,Bosch Washing Machine S6,Microwave Oven,Serie 6,High,B,No,4.7,1257,4671,1433,739,"1014, 1040",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1076,Bosch Washing Machine S6,Dishwasher,Serie 3,High,A+,No,4.3,535,5070,591,672,"1069, 1023",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1082,Bosch Washing Machine S6,Washing Machine,X5 Series,Medium,A++,Yes,4.4,272,1009,186,314,"1001, 1099",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1088,Bosch Washing Machine S6,Washing Machine,Serie 5,Low,A+,No,3.7,993,4771,743,333,"1045, 1074",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
1025,Bosch Washing Machine S623,Refrigerator,X1 Series,Low,A+,No,3.6,718,5518,682,461,"1044, 1079",,https://media3.bosch-home.com/Product_Shots/1800x1012/19574339_WOI905R0IN_STP_def.webp
